session_id,start_time,end_time,duration,src_ip,src_port,dst_port,protocol,total_connexion,login_success,login_failed,avg_time_between_failed,is_business_hours,label
8ec4f36c6df7,2025-02-18T05:25:41.286469Z,2025-02-18T05:25:42.716003Z,1.4,218.92.0.235,28080,22,ssh,1,0,0,0,False,0
c09c597ac64b,2025-02-18T05:26:10.428142Z,2025-02-18T05:26:10.655437Z,0.2,87.98.138.86,50768,22,ssh,1,0,0,0,False,0
acc3a52d17e2,2025-02-18T05:26:51.578398Z,2025-02-18T05:26:51.947392Z,0.4,124.238.113.134,37634,22,ssh,1,0,0,0,False,0
2eebf5219ec9,2025-02-18T05:26:53.273406Z,2025-02-18T05:28:53.276277Z,120.0,124.238.113.134,38228,22,ssh,1,0,0,0,False,0
3f58a89a1026,2025-02-18T05:27:40.669011Z,2025-02-18T05:27:51.391943Z,10.7,61.72.59.106,37214,22,ssh,3,0,2,2.982,False,0
4997a1083f53,2025-02-18T05:27:53.346559Z,2025-02-18T05:28:01.675930Z,8.3,218.92.0.190,14296,22,ssh,4,0,3,1.535,False,0
1cf7c08190cd,2025-02-18T05:28:55.255938Z,2025-02-18T05:29:09.361788Z,14.1,218.92.0.190,33290,22,ssh,1,0,0,0,False,0
9b2ed824f050,2025-02-18T05:29:05.956852Z,2025-02-18T05:29:06.461334Z,0.5,118.107.88.19,56984,22,ssh,1,0,0,0,False,0
28dd605e854f,2025-02-18T05:29:54.479852Z,2025-02-18T05:31:54.524431Z,120.0,218.92.0.190,43364,22,ssh,1,0,0,0,False,0
39a44b7323b6,2025-02-18T05:30:05.278075Z,2025-02-18T05:30:36.646303Z,31.368538856506348,116.73.21.38,42355,23,telnet,1,0,0,0,False,0
ac50c1431716,2025-02-18T05:30:55.562275Z,2025-02-18T05:31:01.781452Z,6.2,218.92.0.190,48444,22,ssh,1,0,0,0,False,0
fc3c1cc5198e,2025-02-18T05:31:55.459568Z,2025-02-18T05:32:03.211429Z,7.8,218.92.0.190,10699,22,ssh,2,1,0,0,False,0
ebdaef0c215c,2025-02-18T05:32:22.379314Z,2025-02-18T05:32:22.593559Z,0.2,87.98.138.86,39258,22,ssh,1,0,0,0,False,0
0e3d287b9953,2025-02-18T05:34:32.096455Z,2025-02-18T05:34:33.379322Z,1.3,218.92.0.228,27978,22,ssh,1,0,0,0,False,0
f45e2265792b,2025-02-18T05:35:04.404008Z,2025-02-18T05:35:04.685317Z,0.3,218.92.0.208,29826,22,ssh,1,0,0,0,False,0
59b93b47e633,2025-02-18T05:35:54.680752Z,2025-02-18T05:35:55.962687Z,1.3,218.92.0.216,23228,22,ssh,1,0,0,0,False,0
d4ef440675be,2025-02-18T05:36:45.288812Z,2025-02-18T05:36:45.792831Z,0.5,118.107.88.19,53788,22,ssh,1,0,0,0,False,0
0e3b27b6b84a,2025-02-18T05:37:57.289901Z,2025-02-18T05:37:58.604808Z,1.3,218.92.0.233,34284,22,ssh,1,0,0,0,False,0
b0e9acb1f5b8,2025-02-18T05:38:13.883557Z,2025-02-18T05:38:15.099225Z,1.2,218.92.0.232,22556,22,ssh,1,0,0,0,False,0
